"","Venue","HomeScore","AwayScore","HomeFGmade","HomeFGattempted","HomeFGpct","Home3ptmade","Home3ptattempted","Home3ptpct","HomeFreeThrowsMade","HomeFreeThrowsAttempted","HomeFreeThrowPct","HomeOffensiveRebounds","HomeTotalRebounds","HomeAssists","HomeSteals","HomeBlocks","HomeTurnovers","HomeFouls","AwayFGmade","AwayFGattempted","AwayFGpct","Away3ptmade","Away3ptattempted","Away3ptpct","AwayFreeThrowsMade","AwayFreeThrowsAttempted","AwayFreeThrowPct","AwayOffensiveRebounds","AwayTotalRebounds","AwayAssists","AwaySteals","AwayBlocks","AwayTurnovers","AwayFouls","Season","WinPct"
"31","PUR20",71.5555555555556,66.2222222222222,24.4444444444444,55.8888888888889,0.441111111111111,6,19,0.320444444444444,16.6666666666667,21.6666666666667,0.769777777777778,10.6666666666667,35.5555555555556,13.6666666666667,6.22222222222222,4,11,17.6666666666667,23.5555555555556,58.8888888888889,0.403666666666667,7.88888888888889,25.5555555555556,0.319222222222222,11,15.8888888888889,0.698777777777778,8.77777777777778,30,13.3333333333333,4.66666666666667,3.77777777777778,10.6666666666667,20.5555555555556,"2020",0.888888888888889
"32","PUR21",78,69.1,26.7,56.5,0.4719,8.4,22,0.3842,16.2,22.8,0.7099,9.7,33.2,16.9,4.7,3,10.4,14.4,25.9,57,0.4559,6.8,21.6,0.3178,10.5,14.1,0.7566,6.2,26.1,14.1,5.3,2,10.2,21.1,"2021",0.9
"33","PUR22",75.7,64.4,25.9,56,0.4611,7.6,21.4,0.3471,16.3,22,0.7592,12.3,36.7,16.9,5.6,3.4,10.6,12.8,25.2,56.5,0.4463,6.5,19,0.3561,7.5,10.5,0.7276,5.1,22,14.3,6.5,3.5,9.3,19.2,"2022",0.8
"34","RUT20",70.9,67,26.8,60.3,0.4466,6.6,20.6,0.3164,10.7,15.5,0.6422,10.1,35.2,12.8,8.3,6,10.5,17.7,23.7,56.4,0.4206,6.9,20.3,0.3508,12.7,18.1,0.6688,8.4,31.9,12.9,6.2,3.8,12.1,15.8,"2020",0.6
"35","RUT21",68.6,62.4,25.8,54.7,0.4755,6.7,17.6,0.3725,10.3,14.9,0.7013,7.7,32.5,16,6.6,4.6,10.9,15.8,22.8,56.4,0.4063,7.6,22,0.3479,9.2,13.6,0.687,7.7,28.5,11.8,6,2.9,9.7,15.5,"2021",0.8
"36","RUT22",64.6,59.8,23.4,55.9,0.4176,5.4,18.2,0.2937,12.4,18.8,0.6593,8.6,33.5,14,8.3,4.4,11.2,14.8,22.2,56,0.3987,7.3,24.3,0.2986,8.1,12.1,0.6675,8.7,32.6,11.7,6.9,4,13.2,16.9,"2022",0.6
"37","UMICH20",73.8888888888889,60.5555555555556,27.3333333333333,56.4444444444444,0.480777777777778,7.22222222222222,16.5555555555556,0.418555555555556,12,15.7777777777778,0.784444444444444,7.22222222222222,35.3333333333333,13.6666666666667,4,5,10.7777777777778,15.1111111111111,22.7777777777778,61.3333333333333,0.373,5.22222222222222,18.3333333333333,0.272888888888889,9.77777777777778,14,0.748888888888889,7.66666666666667,28.6666666666667,8.11111111111111,4.55555555555556,2.77777777777778,9,14.5555555555556,"2020",0.888888888888889
"38","UMICH21",75.8,72.1,28.6,56.6,0.5071,6.3,17.1,0.3775,12.3,15.8,0.7932,7.3,29.8,14.5,3.8,3,10.4,16.1,27.1,55.2,0.4907,6.3,16.3,0.3779,11.6,16.3,0.7386,4.6,23.4,8.5,4.9,2.5,9.2,15.7,"2021",0.6
"39","UMICH22",77.7,67.8,27.5,57.7,0.4769,7.5,20.7,0.3467,15.2,20.1,0.7561,6.9,33.7,11.2,4.4,4.1,10.3,15.5,25.6,60.1,0.4306,6,19.5,0.3172,10.6,14.5,0.7234,6.2,28.6,10,4.3,2.5,9.6,18.1,"2022",0.8
"40","WIS20",67.4,65.5,24.2,59.2,0.4126,8.5,23.8,0.3651,10.5,13.9,0.7513,7.1,30.8,13,5.7,2.4,8.6,15.7,23.9,55.1,0.4375,7.1,20.4,0.3723,10.6,15.1,0.6811,6,31.9,12.3,3.9,4.4,11.1,15.6,"2020",0.5
"41","WIS21",70.5,67.7,25.8,59.4,0.4342,6.4,20.9,0.3016,12.5,16.3,0.7622,7.3,30.4,11.4,5.5,2.5,7.9,16.2,25.7,57.1,0.4523,6,18.8,0.3428,10.3,14.9,0.6933,7.4,31.8,10.5,4.9,3.1,10.6,18.5,"2021",0.7
"42","WIS22",60.4,59.5,21.9,54.7,0.404,8.1,22.7,0.3565,8.5,12.8,0.6921,5.7,27.5,10.7,5.4,0.9,6.8,15.2,22.4,51.8,0.4374,5.9,18.6,0.3322,8.8,12.8,0.7016,6.9,33.3,9.4,3.2,3.8,11.2,14.6,"2022",0.5
