"","Venue","Season","Date","Year","Month","Opp","W/L","HomeScore","AwayScore","HomeFGmade","HomeFGattempted","HomeFGpct","Home3ptmade","Home3ptattempted","Home3ptpct","HomeFreeThrowsMade","HomeFreeThrowsAttempted","HomeFreeThrowPct","HomeOffensiveRebounds","HomeTotalRebounds","HomeAssists","HomeSteals","HomeBlocks","HomeTurnovers","HomeFouls","AwayFGmade","AwayFGattempted","AwayFGpct","Away3ptmade","Away3ptattempted","Away3ptpct","AwayFreeThrowsMade","AwayFreeThrowsAttempted","AwayFreeThrowPct","AwayOffensiveRebounds","AwayTotalRebounds","AwayAssists","AwaySteals","AwayBlocks","AwayTurnovers","AwayFouls"
"375","UMICH","2021","2022-03-01","2022","03","Michigan State","1",87,70,32,55,0.582,7,12,0.583,16,22,0.727,6,30,14,5,4,11,18,27,59,0.458,5,16,0.313,11,19,0.579,7,25,11,7,4,10,21
"376","UMICH","2021","2022-03-03","2022","03","Iowa","0",71,82,30,60,0.5,7,19,0.368,4,8,0.5,9,28,16,4,6,13,11,30,57,0.526,11,19,0.579,11,12,0.917,5,25,11,10,6,8,13
"377","UMICH","2022","2023-01-01","2023","01","Maryland","1",81,46,28,56,0.5,3,11,0.273,22,29,0.759,8,44,15,6,4,13,11,18,68,0.265,5,25,0.2,5,9,0.556,9,30,7,6,3,12,24
"378","UMICH","2022","2023-01-04","2023","01","Penn State","1",79,69,27,58,0.466,8,19,0.421,17,25,0.68,6,35,11,4,2,3,16,26,58,0.448,9,28,0.321,8,11,0.727,4,29,6,2,2,7,20
"379","UMICH","2022","2023-01-15","2023","01","Northwestern","1",85,78,29,56,0.518,10,22,0.455,17,24,0.708,10,38,18,5,4,18,17,27,64,0.422,6,23,0.261,18,24,0.75,9,29,13,11,2,8,19
"380","UMICH","2022","2023-01-22","2023","01","Minnesota","1",60,56,22,60,0.367,2,14,0.143,14,18,0.778,6,32,8,7,3,10,14,23,57,0.404,6,23,0.261,4,7,0.571,5,33,11,3,3,14,18
"381","UMICH","2022","2023-01-26","2023","01","Purdue","0",70,75,26,59,0.441,9,25,0.36,9,14,0.643,6,23,9,5,3,6,17,27,50,0.54,5,12,0.417,16,20,0.8,6,32,7,3,3,12,16
"382","UMICH","2022","2023-02-05","2023","02","Ohio State","1",77,69,28,57,0.491,8,23,0.348,13,18,0.722,6,33,11,2,3,8,13,26,64,0.406,5,16,0.313,12,17,0.706,11,33,6,4,2,6,16
"383","UMICH","2022","2023-02-08","2023","02","Nebraska","1",93,72,34,59,0.576,14,26,0.538,11,13,0.846,5,31,16,1,5,13,19,28,58,0.483,7,20,0.35,9,17,0.529,4,22,15,4,1,8,13
"384","UMICH","2022","2023-02-11","2023","02","Indiana","0",61,62,23,54,0.426,5,20,0.25,10,13,0.769,4,29,8,7,6,11,16,23,53,0.434,2,6,0.333,14,18,0.778,4,27,12,3,4,13,16
"385","UMICH","2022","2023-02-18","2023","02","Michigan State","1",84,72,29,59,0.492,9,26,0.346,17,21,0.81,13,37,9,3,5,9,15,28,59,0.475,7,19,0.368,9,10,0.9,4,22,13,2,1,8,20
"386","UMICH","2022","2023-02-26","2023","02","Wisconsin","1",87,79,29,59,0.492,7,21,0.333,22,26,0.846,5,35,7,4,6,12,17,30,70,0.429,8,23,0.348,11,12,0.917,6,29,10,5,4,8,19
"387","WIS","2020","2020-12-22","2020","12","Nebraska","1",67,53,22,55,0.4,8,26,0.308,15,15,1,5,39,14,0,1,11,12,18,54,0.333,8,27,0.296,9,17,0.529,5,28,12,6,6,9,15
"388","WIS","2020","2020-12-28","2020","12","Maryland","0",64,70,24,55,0.436,8,21,0.381,8,15,0.533,7,28,12,3,1,6,15,26,52,0.5,6,17,0.353,12,15,0.8,4,31,11,3,5,9,17
"389","WIS","2020","2020-12-31","2020","12","Minnesota","1",71,59,30,59,0.508,6,15,0.4,5,8,0.625,8,35,12,3,3,9,15,20,64,0.313,7,31,0.226,12,14,0.857,15,38,12,1,6,10,15
"390","WIS","2020","2021-01-07","2021","01","Indiana","1",80,73,28,66,0.424,8,19,0.421,16,20,0.8,5,33,14,10,0,7,14,30,62,0.484,8,21,0.381,5,8,0.625,1,31,19,2,7,13,19
"391","WIS","2020","2021-01-20","2021","01","Northwestern","1",68,52,24,55,0.436,10,27,0.37,10,11,0.909,4,29,14,5,2,8,13,21,51,0.412,7,23,0.304,3,7,0.429,2,25,10,3,2,10,17
"392","WIS","2020","2021-01-23","2021","01","Ohio State","0",62,74,23,57,0.404,7,28,0.25,9,15,0.6,5,27,14,7,4,9,19,27,53,0.509,5,16,0.313,15,18,0.833,3,31,9,6,2,11,16
"393","WIS","2020","2021-02-02","2021","02","Penn State","1",72,56,25,52,0.481,9,18,0.5,13,16,0.813,8,31,16,8,1,15,13,22,57,0.386,6,24,0.25,6,10,0.6,10,24,10,6,3,13,16
"394","WIS","2020","2021-02-14","2021","02","Michigan","0",59,67,21,54,0.389,6,19,0.316,11,12,0.917,3,25,11,5,5,9,18,24,59,0.407,7,17,0.412,12,16,0.75,9,32,11,5,6,5,10
"395","WIS","2020","2021-02-18","2021","02","Iowa","0",62,77,21,70,0.3,13,34,0.382,7,12,0.583,15,34,13,3,4,5,19,26,51,0.51,12,19,0.632,13,19,0.684,6,40,16,2,4,11,13
"396","WIS","2020","2021-02-27","2021","02","Illinois","0",69,74,24,69,0.348,10,31,0.323,11,15,0.733,11,27,10,13,3,7,19,25,48,0.521,5,9,0.556,19,27,0.704,5,39,13,5,3,20,18
"397","WIS","2021","2021-12-08","2021","12","Indiana","1",64,59,22,62,0.355,5,23,0.217,15,18,0.833,10,38,12,4,6,4,15,24,62,0.387,5,13,0.385,6,13,0.462,12,39,14,2,4,9,19
"398","WIS","2021","2022-01-06","2022","01","Iowa","1",87,78,33,66,0.5,5,17,0.294,16,23,0.696,11,38,15,6,1,7,20,30,61,0.492,7,20,0.35,11,19,0.579,6,25,19,4,7,8,22
"399","WIS","2021","2022-01-13","2022","01","Ohio State","1",78,68,27,58,0.466,10,23,0.435,14,20,0.7,6,29,16,6,0,9,14,30,60,0.5,3,19,0.158,5,10,0.5,6,30,7,3,3,11,20
"400","WIS","2021","2022-01-21","2022","01","Michigan State","0",74,86,26,61,0.426,12,29,0.414,10,11,0.909,5,17,15,5,1,10,18,29,55,0.527,6,12,0.5,22,28,0.786,11,39,14,4,4,13,19
"401","WIS","2021","2022-01-30","2022","01","Minnesota","1",66,60,24,57,0.421,6,19,0.316,12,15,0.8,7,31,8,3,0,7,15,23,53,0.434,6,18,0.333,8,9,0.889,4,29,4,4,2,11,17
"402","WIS","2021","2022-02-05","2022","02","Penn State","1",51,49,21,56,0.375,6,21,0.286,3,6,0.5,5,36,10,3,4,8,13,18,57,0.316,9,30,0.3,4,5,0.8,6,33,7,7,3,10,14
"403","WIS","2021","2022-02-12","2022","02","Rutgers","0",65,73,26,55,0.473,4,19,0.211,9,17,0.529,7,27,13,8,0,11,18,25,49,0.51,7,12,0.583,16,18,0.889,4,29,11,10,3,13,20
"404","WIS","2021","2022-02-20","2022","02","Michigan","1",77,63,29,58,0.5,4,13,0.308,15,16,0.938,4,27,7,7,5,8,16,25,64,0.391,4,25,0.16,9,13,0.692,12,36,11,5,2,11,19
"405","WIS","2021","2022-03-01","2022","03","Purdue","1",70,67,26,61,0.426,7,22,0.318,11,12,0.917,7,30,9,6,4,6,17,24,56,0.429,8,21,0.381,11,20,0.55,8,34,10,4,1,10,16
"406","WIS","2021","2022-03-06","2022","03","Nebraska","0",73,74,24,60,0.4,5,23,0.217,20,25,0.8,11,31,9,7,4,9,16,29,54,0.537,5,18,0.278,11,14,0.786,5,24,8,6,2,10,19
"407","WIS","2022","2022-12-06","2022","12","Maryland","1",64,59,20,47,0.426,7,21,0.333,17,27,0.63,1,28,14,7,3,8,18,21,55,0.382,10,24,0.417,7,12,0.583,8,37,9,4,6,14,20
"408","WIS","2022","2023-01-03","2023","01","Minnesota","1",63,60,24,55,0.436,8,20,0.4,7,9,0.778,2,24,9,13,2,8,15,24,55,0.436,5,14,0.357,7,11,0.636,9,37,7,5,2,20,10
"409","WIS","2022","2023-01-10","2023","01","Michigan State","0",65,69,25,55,0.455,9,23,0.391,6,8,0.75,3,18,9,6,1,5,18,23,44,0.523,7,13,0.538,16,17,0.941,3,32,10,3,3,13,12
"410","WIS","2022","2023-01-17","2023","01","Penn State","1",63,60,23,54,0.426,7,17,0.412,10,16,0.625,5,28,8,3,2,5,13,22,49,0.449,8,20,0.4,8,11,0.727,4,31,10,3,5,10,21
"411","WIS","2022","2023-01-28","2023","01","Illinois","0",51,61,19,57,0.333,9,27,0.333,4,7,0.571,5,30,9,6,0,9,18,22,51,0.431,6,20,0.3,11,18,0.611,6,34,7,2,5,11,14
"412","WIS","2022","2023-02-05","2023","02","Northwestern","0",52,54,19,50,0.38,9,23,0.391,5,11,0.455,6,23,13,6,1,8,14,21,45,0.467,4,15,0.267,8,13,0.615,6,33,11,5,5,9,14
"413","WIS","2022","2023-02-14","2023","02","Michigan","1",64,59,22,66,0.333,6,18,0.333,14,18,0.778,14,36,10,3,0,4,14,24,57,0.421,5,16,0.313,6,10,0.6,8,37,7,2,5,11,15
"414","WIS","2022","2023-02-18","2023","02","Rutgers","0",57,58,19,57,0.333,12,36,0.333,7,9,0.778,8,31,16,4,0,5,13,23,52,0.442,7,17,0.412,5,5,1,3,29,14,2,4,8,10
"415","WIS","2022","2023-02-22","2023","02","Iowa","1",64,52,25,48,0.521,4,18,0.222,10,18,0.556,7,36,11,1,0,10,12,20,62,0.323,3,28,0.107,9,13,0.692,12,27,8,3,2,6,19
"416","WIS","2022","2023-03-02","2023","03","Purdue","0",61,63,23,58,0.397,10,24,0.417,5,5,1,6,21,8,5,0,6,17,24,48,0.5,4,19,0.211,11,18,0.611,10,36,11,3,1,10,11
